2
0.233276	0.731066	C3
0.513000	0.451334	C3
0.469850	0.494437	C3
0.325533	0.638731	C3
0.580525	0.383729	C3
0.181690	0.782506	C3
0.912805	0.051383	C3
0.957698	0.006485	C3
0.036932	0.927242	C3
0.961072	0.003069	C3
0.617930	0.346143	C3
0.916000	0.048066	C3
0.258395	0.705621	C3
0.726683	0.237325	C3
0.023713	0.940281	C3
0.370611	0.593353	C3
0.341761	0.622198	C3
0.677605	0.286337	C3
0.792953	0.170928	C3
0.463798	0.500022	C3
0.230917	0.732880	C3
0.729184	0.234610	C3
0.194679	0.769110	C3
0.632334	0.331433	C3
0.683937	0.279802	C3
0.777352	0.186361	C3
0.161918	0.801773	C3
0.377304	0.586371	C3
0.447679	0.515975	C3
0.187650	0.775999	C3
0.287581	0.676001	C3
0.285967	0.677590	C3
0.048660	0.914891	C3
0.926410	0.037140	C3
0.231240	0.732280	C3
0.224483	0.739018	C3
0.123490	0.840002	C3
0.920402	0.043057	C3
0.599722	0.363737	C3
0.614788	0.348662	C3
0.014661	0.948781	C3
0.386950	0.576481	C3
0.051976	0.911449	C3
0.256124	0.707299	C3
0.611333	0.352025	C3
0.265387	0.697956	C3
0.382130	0.581184	C3
0.418488	0.544778	C3
0.790071	0.173193	C3
0.572480	0.390777	C3
0.816915	0.146341	C3
0.934978	0.028276	C3
0.289024	0.674219	C3
0.190494	0.772749	C3
0.272948	0.690278	C3
0.269897	0.693166	C3
0.703676	0.259383	C3
0.854214	0.108813	C3
0.523593	0.439419	C3
0.942696	0.020303	C3
0.759308	0.203676	C3
0.554945	0.408037	C3
0.364330	0.598636	C3
0.543281	0.419678	C3
0.869421	0.093499	C3
0.875460	0.087438	C3
0.611917	0.350951	C3
0.215223	0.747593	C3
0.373725	0.589086	C3
0.211268	0.751515	C3
0.707337	0.255441	C3
0.410106	0.552658	C3
0.495788	0.466969	C3
0.306483	0.656231	C3
0.241306	0.721391	C3
0.346918	0.615754	C3
0.785928	0.176706	C3
0.178301	0.784326	C3
0.433418	0.529193	C3
0.599928	0.362658	C3
0.387578	0.574997	C3
0.553119	0.409449	C3
0.150252	0.812302	C3
0.771134	0.191403	C3
0.957982	0.004540	C3
0.577236	0.385257	C3
0.677974	0.284456	C3
0.372435	0.589960	C3
0.096975	0.865404	C3
0.813331	0.149040	C3
0.053043	0.909292	C3
0.076944	0.885369	C3
0.764973	0.197326	C3
0.217989	0.744279	C3
0.066728	0.895522	C3
0.411833	0.550387	C3
0.871178	0.091019	C3
0.947776	0.014411	C3
0.265618	0.696567	C3
0.810176	0.151988	C3
0.641462	0.320675	C3
0.322156	0.639964	C3
0.949184	0.012928	C3
0.488763	0.473333	C3
0.525271	0.436817	C3
0.687702	0.274352	C3
0.352129	0.609908	C3
0.243024	0.718923	C3
0.356279	0.605652	C3
0.273306	0.688601	C3
0.652064	0.309809	C3
0.951667	0.010179	C3
0.212362	0.749467	C3
0.436612	0.525208	C3
0.091523	0.870293	C3
0.573262	0.388550	C3
0.404752	0.557031	C3
0.496209	0.465566	C3
0.814135	0.147617	C3
0.291394	0.670313	C3
0.892962	0.068722	C3
0.678798	0.282869	C3
0.808070	0.153570	C3
0.710509	0.251050	C3
0.671641	0.289905	C3
0.137793	0.823636	C3
0.603135	0.358268	C3
0.851976	0.109418	C3
0.398108	0.563276	C3
0.798225	0.163154	C3
0.894094	0.067273	C3
0.524518	0.436844	C3
0.278602	0.682744	C3
0.371047	0.590251	C3
0.516100	0.445147	C3
0.531933	0.429282	C3
0.753069	0.208135	C3
0.221758	0.739432	C3
0.518193	0.442958	C3
0.345336	0.615776	C3
0.559335	0.401751	C3
0.425866	0.535174	C3
0.448152	0.512870	C3
0.514831	0.446159	C3
0.855154	0.105820	C3
0.823813	0.137065	C3
0.153440	0.807434	C3
0.259971	0.700863	C3
0.735339	0.225428	C3
0.663685	0.297015	C3
0.777772	0.182828	C3
0.840081	0.120511	C3
0.557108	0.403480	C3
0.220810	0.739735	C3
0.618984	0.341483	C3
0.823045	0.137399	C3
0.642951	0.317421	C3
0.907038	0.053286	C3
0.044965	0.915352	C3
0.072197	0.888119	C3
0.200101	0.760184	C3
0.343390	0.616851	C3
0.073154	0.887075	C3
0.645085	0.315100	C3
0.731497	0.228644	C3
0.300576	0.659517	C3
